varepsilon,003B5
vartheta,3D1
varpi,3D6
varrho,3F1
varsigma,3C2
varphi,3C6
Gamma,393
Delta,394
Theta,398
Lambda,39B
Xi,39E
Pi,3A0
Sigma,3A3
Upsilon,3A5
Phi,3A6
Psi,3A8
Omega,3A9
pm,B1
mp,2213
div,F7
ast,2217
star,22C6
circ,2218
bullet,2022
cap,2229
cup,222A
uplus,228E
sqcap,2293
sqcup,2294
vee,2228
wedge,2227
setminus,29F5
wr,2240
diamond,2B28
bigtriangleup,25B3
bigtriangledown,25BD
triangleleft,25C3
triangleright,25B9
lhd,25C1
rhd,25B7
unlhd,22B4
unrhd,22B5
oplus,2295
ominus,2296
otimes,2297
oslash,2298
odot,2299
bigcirc,25EF
dagger,2020
ddagger,2021
amalg,02A3F
leq,2264
prec,227A
preceq,2AAF
ll,226A
subset,2282
subseteq,2286
sqsubset,228F
sqsubseteq,2291
in,2208
vdash,22A2
geq,2265
succ,227B
succeq,2AB0
gg,226B
supset,2283
supseteq,2287
sqsupset,2290
sqsupseteq,2292
ni,220B
dashv,22A3
equiv,2261
sim,223C
simeq,2243
asymp,224D
cong,2245
neq,2260
doteq,2250
propto,221D
models,22A7
perp,27C2
mid,2223
parallel,2225
bowtie,22C8
Join,2A1D
smile,2323
frown,2322
leftarrow,2190
Leftarrow,21D0
rightarrow,2192
Rightarrow,2192
leftrightarrow,21C6
Leftrightarrow,21D4
mapsto,21A6
hookleftarrow,21A9
leftharpoonup,21BC
leftharpoondown,21BD
rightleftharpoons,21CC
longleftarrow,27F5
Longleftarrow,27F8
longrightarrow,27F6
Longrightarrow,27F9
longleftrightarrow,27F7
Longleftrightarrow,27FA
longmapsto,27FC
hookrightarrow,21AA
rightharpoonup,21C0
rightharpoondown,21C1
leadsto,219D
uparrow,2191
Uparrow,21D1
downarrow,2193
Downarrow,21D3
updownarrow,2195
Updownarrow,21D5
nearrow,2197
swarrow,2198
swarrow,2199
nwarrow,2196
aleph,2135
hbar,210F
imath,1D6A4
jmath,1D6A5
ell,2113
wp,2118
Re,211C
Im,2111
mho,2127
emptyset,2205
nabla,2207
surd,221A
top,22A4
bot,22A5
angle,2220
forall,2200
exists,2203
neg,AC
flat,266D
natural,266E
sharp,266F
infty,221E
Box,25A2
Diamond,25C7
triangle,25B3
clubsuit,2663
diamondsuit,2662
heartsuit,2661
spadesuit,2660

